sessiondatetime,sessionId,userCountry,sourcetype,action_shopHomePageVisit,action_productPageVisit,action_addToCartVisit,action_purchaseVisit
20191020T160043,8.86053E+28,Germany,affiliate,0,1,0,0
20191020T092434,7.09083E+28,Germany,affiliate,0,1,0,0
20191020T190213,1.41338E+28,Germany,paysearch,0,1,1,0
20191020T163223,3.89241E+28,Germany,direct,0,1,0,0
20191020T174547,4.51841E+28,Germany,paysearch,0,1,1,1
20191020T182402,4.30176E+28,Germany,affiliate,0,1,0,0
20191020T154358,3.14732E+28,Germany,affiliate,0,1,1,1
20191020T095727,6.12663E+27,Germany,direct,0,1,1,1
20191020T142255,1.70484E+28,Czechia,orgsearch,0,1,1,0
20191020T083304,1.50139E+28,Germany,paysearch,0,1,1,0
20191020T201823,4.90688E+28,Germany,direct,0,1,0,0
20191020T132655,8.89524E+28,Germany,paysearch,0,1,1,0
20191020T140552,9.00597E+28,Germany,orgsearch,0,1,0,0
20191020T072431,4.95987E+28,Germany,paysearch,0,1,0,0
20191020T195644,6.66737E+27,Germany,orgsearch,0,1,1,1
20191020T134607,5.00239E+27,Germany,direct,0,1,1,1
20191020T181245,7.21193E+28,Germany,paysearch,0,1,1,0
20191020T092510,7.84585E+28,Germany,direct,0,1,1,0
20191020T143332,1.93905E+28,Germany,paysearch,0,1,0,0
20191020T125835,5.13489E+28,Germany,orgsearch,0,1,0,0
20191020T095304,4.57884E+28,Germany,direct,0,1,1,0
20191020T033715,4.14189E+27,Germany,paysearch,0,1,1,0
20191020T085821,8.36669E+28,Germany,direct,0,1,0,0
20191020T073009,2.76463E+28,Germany,paysearch,0,1,0,0
20191020T085354,5.3239E+28,Germany,direct,0,1,1,1
20191020T070654,6.44927E+28,Germany,paysearch,0,1,0,0
20191020T092834,1.94627E+28,Germany,paysearch,0,1,1,0
20191020T105537,5.75091E+28,Germany,paysearch,0,1,1,1
20191020T130600,4.65787E+28,Germany,direct,0,1,0,0
20191020T082758,3.04797E+28,Germany,orgsearch,0,1,1,0
20191020T141920,2.9544E+28,Germany,orgsearch,0,1,0,0
20191019T220059,5.51352E+28,Germany,orgsearch,0,1,0,0
20191020T102155,1.69242E+28,Germany,orgsearch,0,1,0,0
20191020T163057,7.35547E+28,Germany,orgsearch,0,1,1,0
20191020T071630,6.73407E+28,Germany,orgsearch,0,1,1,0
20191020T181657,3.96848E+28,Germany,paysearch,0,1,0,0
20191020T144911,3.19459E+28,Germany,direct,0,1,1,1
20191020T162238,2.99928E+28,Germany,paysearch,0,1,1,0
20191020T180923,7.14562E+27,Germany,paysearch,0,1,0,0
20191020T075017,2.42599E+28,Germany,direct,0,1,0,0
20191020T190012,4.63123E+28,Germany,paysearch,0,1,1,0
20191020T110506,3.61227E+28,Germany,paysearch,0,1,1,0
20191020T202426,1.73138E+28,Germany,paysearch,0,1,0,0
20191020T132817,8.37194E+28,Germany,paysearch,0,1,0,0
20191020T071618,6.36942E+28,Germany,paysearch,0,1,1,1
20191020T011142,2.59376E+28,Germany,paysearch,0,1,1,0
20191020T095032,8.33345E+28,Germany,paysearch,0,1,1,1
20191020T170924,8.86679E+28,Austria,direct,0,1,1,0
20191020T100759,1.04643E+28,Germany,paysearch,0,1,0,0
20191020T174702,2.49896E+28,Germany,orgsearch,0,1,0,0
20191020T172057,1.92683E+28,Germany,orgsearch,0,1,1,1
20191020T175304,3.0436E+28,Germany,paysearch,0,1,1,0
20191020T120239,8.56521E+28,Germany,orgsearch,0,1,0,0
20191020T182324,4.21251E+28,Germany,paysearch,0,1,0,0
20191020T175122,4.18654E+28,Germany,paysearch,0,1,0,0
20191020T153059,2.97302E+28,Germany,affiliate,0,1,0,0
20191020T080755,1.36568E+28,Germany,orgsearch,0,1,0,0
20191020T123141,5.38153E+28,Germany,direct,0,1,1,1
20191020T131836,7.23585E+28,Germany,direct,0,1,1,0
20191020T142409,6.98517E+28,Germany,paysearch,0,1,0,0
20191020T112343,2.83794E+28,Germany,orgsearch,0,1,0,1
20191020T063905,5.5722E+28,Germany,paysearch,0,1,1,0
20191020T101217,3.55199E+28,Germany,paysearch,0,1,1,1
20191020T104809,3.01522E+27,Germany,direct,0,1,0,0
20191020T072252,6.69367E+28,Germany,orgsearch,0,1,1,0
20191020T142814,4.82754E+28,Germany,paysearch,0,1,0,0
20191020T071124,2.74336E+27,Germany,direct,0,1,0,0
20191020T094246,7.66433E+28,Germany,orgsearch,0,1,1,1
20191020T204923,3.86942E+26,Germany,direct,0,1,0,0
20191020T113438,7.78852E+28,Germany,paysearch,0,1,0,0
20191020T091112,2.18789E+28,Germany,affiliate,0,1,0,0
20191020T152406,9.03331E+28,Germany,direct,0,1,0,0
20191020T090847,4.39166E+28,Germany,paysearch,0,1,1,1
20191020T141213,8.91294E+28,Germany,paysearch,0,1,0,0
20191020T130655,6.71502E+27,Germany,paysearch,0,1,0,0
20191020T204219,4.51119E+28,Germany,orgsearch,0,1,1,0
20191020T164208,5.9135E+28,Germany,paysearch,0,1,0,1
20191020T093232,6.1963E+28,Germany,paysearch,0,1,0,0
20191020T202134,3.7073E+24,Germany,direct,0,1,0,0
20191020T063258,2.47709E+28,Germany,orgsearch,0,1,1,0
20191020T050301,4.22747E+28,Germany,paysearch,0,1,1,1
20191020T082830,1.93912E+28,Germany,orgsearch,0,1,0,0
20191020T110528,5.25979E+28,Germany,paysearch,0,1,1,0
20191020T194434,6.86774E+28,Germany,direct,0,1,1,0
20191020T085033,4.25948E+27,Germany,orgsearch,0,1,1,1
20191020T183620,5.54823E+28,Germany,orgsearch,0,1,1,1
20191020T121106,9.38592E+27,Germany,direct,0,1,0,0
20191020T161505,1.19478E+28,Germany,paysearch,0,1,0,0
20191020T160839,1.43504E+28,Germany,orgsearch,0,1,0,1
20191020T110000,6.86714E+28,Germany,paysearch,0,1,1,0
20191020T081619,5.82457E+28,Austria,affiliate,0,1,0,0
20191020T112210,5.46772E+28,Germany,paysearch,0,1,0,0
20191020T115524,4.6093E+27,Hong Kong,orgsearch,0,1,1,1
20191020T194738,1.40725E+28,Germany,paysearch,0,1,0,1
20191020T082631,3.89406E+28,Germany,orgsearch,0,1,1,1
20191020T111510,4.52588E+28,Germany,paysearch,0,1,1,0
20191019T221458,3.27853E+27,Germany,paysearch,0,1,1,0
20191020T134018,7.66531E+28,Germany,paysearch,0,1,1,0
20191020T084215,8.92075E+28,Germany,orgsearch,0,1,1,1
20191020T113458,5.05992E+28,Germany,direct,0,1,0,0
20191020T133524,4.3362E+28,Germany,paysearch,0,1,0,0
20191019T232913,4.78799E+28,Germany,direct,0,1,0,0
20191020T181128,9.0678E+28,Germany,orgsearch,0,1,0,0
20191020T115502,1.12679E+28,Germany,direct,0,1,0,0
20191019T233059,1.35671E+28,Germany,orgsearch,0,1,0,1
20191020T174709,5.68346E+28,Germany,paysearch,0,1,0,1
20191020T151011,2.92942E+28,Germany,orgsearch,0,1,0,0
